ZAPT,NAME
00,НАШИ ПОЗНАТИ ДА НЕ ИЗПРАЩАМЕ
01,НЯМА ДА ПОЛУЧАВАТ ПИСМА
1,ЗАВЪРШИЛИ ОСНОВЕН КУРС
10,НЕЗАВЪРШИЛИ СЕМИНАРА
11,ПРЕДПЛАТА НА УВОДНАТА ЛЕКЦИЯ
12,СТАНИ БОГАТ
13,ОСНОВЕН КУРС НЕРАЗПЕЧАТАНИ
14,УЛТРА ИТУИЦИЯ ESP
15,ПЛАТЕНО ЗА СЛЕДВАЩ СЕМИНАР
16,ЧУЖБИНА
17,ПОДОБРЕТЕ ВРЪЗКИТЕ СИ
18,Биоенергетика
19,ШАМАНСКО ПЪТУВАНЕ
1@,ЗАВЪРШИЛИ ОСНОВНИЯ КУРС мейли
2,ПРИСЪСТВАЛИ НА УВОДНА ЛЕКЦИЯ
21,важни завършили
22,Важни незавършили
23,ГАЛАКСИ
24,МЕДИУМ
2@,e-mail НЕЗАВЪРШИЛИ
3,ФЕНГ ШУЕЙ
4,ПРОЯВИЛИ ИНТЕРЕС
4@,ПРОЯВИЛИ ИНТЕРЕС e-mail
4Т,ПРОЯВИЛИ ИНТЕРЕС - ТЕЛЕФОНИ
5,ЗАВЪРШИЛИ В ЧУЖБИНА
5@,ЗАВЪРШИЛИ В ЧУЖБИНА - МЕЙЛ
6,ЖРЕБИЙ ЗА БЕЗПЛАТНО УЧАСТИЕ
6@,ЖРЕБИЙ е-mail
7,ЗАВЪРШИЛИ ДЕТСКИЯ СЕМИНАР
8,БИЗНЕС СЕМИНАР
9,ЕНЕРГИЙНА САМОЗАЩИТА
@@,SLS&SIS@
I,SIS
I@,SIS @
L,SLS
L@,SLS @
LI,SLS&SIS
NL,МЕЙЛ НЮЗЛЕТЕР
WI,SLSол+SISзала
WL,УЕБИНАР SLS
WW,УЕБИНАР SLS&SIS
l@,ДЪЛЪГ e-mail
Ш@,шШАМАНСКО МЕЙЛ
69, mnogo vajni
